Wed Nov 30 15:28:16 2022    profile/example_Satori_batch_2_nodes10

         7792 function calls (7708 primitive calls) in 123.059 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        6    0.000    0.000    0.000    0.000 argparse.py:964(__init__)
        2    0.000    0.000    0.000    0.000 utils.py:234(__str__)
        3    0.000    0.000    0.000    0.000 __init__.py:43(normalize_encoding)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:560(_classify_pyc)
        2    0.000    0.000    0.000    0.000 pathlib.py:677(__reduce__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:160(__exit__)
        2    0.000    0.000    0.000    0.000 process.py:61(_cleanup)
        1    0.000    0.000    0.000    0.000 ddp.py:12(set_master)
       14    0.000    0.000    0.000    0.000 enum.py:670(__new__)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:87(acquire)
        2    0.000    0.000    0.000    0.000 selectors.py:269(close)
       10    0.000    0.000    0.000    0.000 pathlib.py:725(_format_parsed_parts)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
        1    0.000    0.000    0.000    0.000 {method 'to' of 'torch._C._TensorBase' objects}
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1077(path_stats)
       14    0.000    0.000    0.000    0.000 _namedtensor_internals.py:10(check_serializing_named_tensor)
        1    0.000    0.000    0.000    0.000 {function Random.seed at 0x14e33ec09820}
       37    0.000    0.000    0.000    0.000 argparse.py:1363(register)
        4    0.000    0.000    0.000    0.000 {built-in method _multiprocessing.sem_unlink}
        7    0.000    0.000    0.000    0.000 serialization.py:173(default_restore_location)
       50    0.000    0.000    0.000    0.000 {method 'match' of 're.Pattern' objects}
       45    0.000    0.000    0.000    0.000 sre_parse.py:234(__next)
      104    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
       38    0.000    0.000    0.000    0.000 argparse.py:584(format)
        2    0.000    0.000    0.000    0.000 selectors.py:203(__exit__)
        4    0.000    0.000    0.000    0.000 connection.py:135(__del__)
        4    0.000    0.000    0.000    0.000 connection.py:122(__init__)
       14    0.000    0.000    0.000    0.000 argparse.py:2286(_get_nargs_pattern)
       16    0.000    0.000    0.000    0.000 argparse.py:2475(_get_value)
      101    0.000    0.000    0.000    0.000 {built-in method builtins.min}
       77    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
        4    0.000    0.000    0.000    0.000 process.py:344(__reduce__)
       38    0.000    0.000    0.000    0.000 argparse.py:575(_metavar_formatter)
       38    0.000    0.000    0.000    0.000 types.py:171(__get__)
        9    0.000    0.000    0.000    0.000 resource_tracker.py:134(_check_alive)
       13    0.000    0.000    0.000    0.000 pathlib.py:715(_from_parsed_parts)
       34    0.000    0.000    0.000    0.000 sre_parse.py:255(get)
        5    0.000    0.000    0.000    0.000 copyreg.py:103(_slotnames)
      167    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
       58    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       49    0.000    0.000    0.000    0.000 {built-in method builtins.max}
        1    0.000    0.000    0.000    0.000 random.py:126(seed)
       17    0.000    0.000    0.000    0.000 {built-in method posix.write}
        4    0.000    0.000    0.000    0.000 connection.py:972(reduce_connection)
       14    0.000    0.000    0.000    0.000 {method 'stride' of 'torch._C._TensorBase' objects}
        6    0.000    0.000    0.000    0.000 enum.py:977(__and__)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:696(spec_from_file_location)
        7    0.000    0.000    0.000    0.000 serialization.py:889(_is_torchscript_zip)
        1    0.000    0.000    0.000    0.000 random.py:117(__init__)
       38    0.000    0.000    0.000    0.000 argparse.py:820(__init__)
       14    0.000    0.000    0.000    0.000 {built-in method posix.fstat}
       14    0.000    0.000    0.000    0.000 reductions.py:26(__init__)
        3    0.000    0.000    0.000    0.000 locale.py:352(_replace_encoding)
        4    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
        1    0.000    0.000    0.000    0.000 spawn.py:11(<module>)
       12    0.000    0.000    0.000    0.000 _collections_abc.py:760(get)
        1    0.000    0.000    0.000    0.000 spawn.py:70(__init__)
       13    0.000    0.000    0.000    0.000 pathlib.py:742(__str__)
        2    0.000    0.000    0.000    0.000 argparse.py:1620(__init__)
       92    0.000    0.000    0.000    0.000 argparse.py:1367(_registry_get)
        2    0.000    0.000    0.000    0.000 selectors.py:210(__init__)
        1    0.000    0.000    0.000    0.000 popen_fork.py:1(<module>)
       38    0.000    0.000    0.000    0.000 {built-in method posix.get_terminal_size}
       15    0.000    0.000    0.000    0.000 {function _load.<locals>.UnpicklerWrapper.find_class at 0x14e225ae24c0}
       38    0.000    0.000    0.000    0.000 argparse.py:1567(_pop_action_class)
      139    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
       14    0.000    0.000    0.000    0.000 reductions.py:273(fd_id)
       10    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
       32    0.000    0.000    0.000    0.000 random.py:237(_randbelow_with_getrandbits)
       96    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
       84    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
        3    0.000    0.000    0.000    0.000 selectors.py:235(register)
        2    0.000    0.000    0.000    0.000 argparse.py:1443(add_argument_group)
        2    0.000    0.000    0.000    0.000 utils.py:292(__exit__)
       14    0.000    0.000    0.000    0.000 enum.py:358(__call__)
        6    0.000    0.000    0.000    0.000 {method 'copy' of 'dict' objects}
       12    0.000    0.000    0.000    0.000 posixpath.py:71(join)
       13    0.000    0.000    0.000    0.000 pathlib.py:752(__fspath__)
       30    0.000    0.000    0.000    0.000 argparse.py:906(__init__)
       14    0.000    0.000    0.000    0.000 reductions.py:59(__setitem__)
        2    0.000    0.000    0.000    0.000 signal.py:24(_int_to_enum)
       19    0.000    0.000    0.000    0.000 {built-in method posix.close}
      113    0.000    0.000    0.000    0.000 sre_parse.py:165(__getitem__)
    25/10    0.000    0.000    0.000    0.000 sre_parse.py:175(getwidth)
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1509(_get_spec)
       14    0.000    0.000    0.000    0.000 argparse.py:2419(_get_values)
        2    0.000    0.000    0.000    0.000 util.py:433(_flush_std_streams)
        4    0.000    0.000    0.000    0.000 resource_tracker.py:149(unregister)
        3    0.000    0.000    0.000    0.000 subprocess.py:282(_args_from_interpreter_flags)
        1    0.000    0.000    0.000    0.000 argparse.py:116(__repr__)
        6    0.000    0.000    0.000    0.000 locale.py:386(normalize)
       14    0.000    0.000    0.000    0.000 {method 'size' of 'torch._C._TensorBase' objects}
       18    0.000    0.000    0.000    0.000 reduction.py:191(DupFd)
        2    0.000    0.000    0.000    0.000 connection.py:521(Pipe)
        4    0.000    0.000    0.000    0.000 signal.py:70(<genexpr>)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.repr}
        4    0.000    0.000    0.000    0.000 tempfile.py:138(rng)
        4    0.000    0.000    0.000    0.000 weakref.py:165(__setitem__)
  422/401    0.000    0.000    0.000    0.000 {built-in method builtins.len}
      591    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       52    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
        4    0.000    0.000    0.000    0.000 pathlib.py:702(_from_parts)
        3    0.000    0.000    0.000    0.000 selectors.py:352(register)
        8    0.000    0.000    0.000    0.000 {built-in method builtins.print}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:491(_get_cached)
       93    0.000    0.000    0.000    0.000 os.py:754(encode)
       28    0.000    0.000    0.000    0.000 {method 'storage' of 'torch._C._TensorBase' objects}
        5    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
       40    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
        2    0.000    0.000    0.000    0.000 selectors.py:348(__init__)
       15    0.000    0.000    0.000    0.000 serialization.py:873(find_class)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:385(cached)
        4    0.000    0.000    0.000    0.000 pathlib.py:1079(__new__)
      548    0.000    0.000    0.000    0.000 {built-in method builtins.isinstance}
        2    0.000    0.000    0.000    0.000 spawn.py:78(get_command_line)
        2    0.000    0.000    0.000    0.000 main.py:91(get_job_dir)
